Additional Switches,Other
Android Auto,DTU
Android Auto,Not Functioning
Android Auto,Slow
Android Auto,Stability
Apple Car Play,Compatibility
Apple Car Play,Customer Education
Apple Car Play,Customer Expectation
Apple Car Play,DTU
Apple Car Play,Dual Environment
Apple Car Play,Mobile App
Apple Car Play,Not Functioning
Apple Car Play,Slow
Apple Car Play,Stability
Area,SubArea
Audio Sound/Speakers,"Diff to adjust/use (bass
Audio,Bad sound Quality
Audio,No Audio
Audio,Not Functioning
Audio,Source Volume Discrepencies
Audio,Volume
Bluetooth,Call Quality
Bluetooth,Compatibility
Bluetooth,Connection Loss
Bluetooth,Customer Education
Bluetooth,Customer Expectation
Bluetooth,DTU
Bluetooth,No Audio
Bluetooth,Not Enough Info
Bluetooth,Not Functioning
Bluetooth,Other
Bluetooth,Outbound Call
Bluetooth,Pairing Loss
Bluetooth,SMS
Bluetooth,Won't/Slow Connect
Bluetooth,Won't/Slow Pair
CD Player/Changer,"Audio format compatibility (MP3
Camera,Image Quality
DVD/CD Drive,No DVD/CD Player
DVD/CD Drive,Not Functioning
Display,Black Screen
Display,Customer Expectation
Display,DTU
Display,Freezes/Locks Up
Display,Illumination Too Bright
Display,Illumination Too Dark
Display,Not Enough Info
Display,Other
Display,Screen Quality
Display,Touchscreen Slow Response
Display,Touchscreen Unresponsive
Fuel Gauge,Doesn’t Read Full
Ignition Switch,Other
Media Player,"Audio format compatibility (MP3
Navigation,Customer Expectation
Navigation,DTU
Navigation,Destination Download
Navigation,No Integrated Nav
Navigation,Not Enough Info
Navigation,Not Functioning
Navigation,Other
Navigation,Out Dated
Navigation,Route Accuracy
Navigation,SD Card Message
No Activation,Cannot Activate at Dealership
No Activation,Duplicate
Not PPEC 7,Other
Power Outlet,Not Enough
Power Outlet,Other
Power Outlet,Poor Location
RRR,DTU
RRR,Duplicate
RRR,No Connect
RRR,Voice Recognition
Radio Interaction,No Wifi
Radio,Customer Expectation
Radio,DTU
Radio,Equalizer
Radio,Favorites
Radio,Not Functioning
Radio,Other
Radio,Poor Reception
Radio,Presets DTU
Radio,Reset
Radio,Screen Freeze
Radio,Slow
Rear Seat Entertainment,DTU
Rear Seat Entertainment,Not Enough Info
Rear Seat Entertainment,Not Functioning
Stability,Reboot
Stability,Software Hang-up/System Freezing
Steering Wheel Controls,DTU
USB/Aux In,Device Not Recognized
USB/Aux In,USB Not Functioning
Voice Recognition,Customer Education
Voice Recognition,DTU
Voice Recognition,Not Functioning
Voice Recognition,Poor Recognition
Wi-Fi,DTU
Wi-Fi,No Hotspot
Wi-Fi,No Internet
Wi-Fi,Slow
XM Radio,Customer Expectation
XM Radio,Poor Reception
   the lag time even when it does understand is very long.   I also have a problem with the volume during conversations on the phone...even with it turned up to maximum volume I often can not understand the other person.   When I listen to radio I barely have the volume up half way so I do not understand the problem.",Voice Recognition
   you turn the knob and it is on center console which I find stupid -  easy to hit with arm or other objects.    Needs to be where they always have been - under/near steering wheel - out of the way safe.      I wonder if I had a child and they reached to grab the knob which is right  there and turned it  what would happen?     Just not a great place for ignition on a car.",Ignition Switch
  BUT THE SYSTEM FREQUENTLY MISINTERPRETS COMMANDS",Voice Recognition
  I have a Ford work truck and they always pick up better than my Chevys.",Radio
  I now use WAZE in the Android Auto APP.  The only downside of the Android Auto APP is that it is only given 65% of the screen (Copied from AEN97): If it mis-understands a navigation request then it frequently does a song search.  Amusing but not useful.",Voice Recognition
  It consistantly gives wrong directions as well its maps are not updated",Voice Recognition
  Radio dial is on dashboard vs console between front seats.  I would prefer not having to reach up to dashboard to control initially turning on radio.",Display
  Really annoying.  Sometimes it works, sometimes it does't."
  System has to re-download all my conZZZts and recent calls frequently which kind of surprised me.",Bluetooth
  The display should be a touch screen like the Honda crv",Information
  Then it asks for street address when you do it this way it is90% accurate......... it should just start this way.  Going to the wrong location has happened 4 times out of about 20 uses.",Voice Recognition
  VOICE COMMAND DID NOT RESPOND AS ALREADY MENTIONED",Navigation
  VOICE COMMAND DID NOT RESPOND AS ALREADY MENTIONED",Voice Recognition
  Why?  It will be fixed before I get there.  It will send me on really odd paths.  FOr example it made me travel 14 miles to end up right where I started and then took me to right way",Navigation
  absolutely no bass.  My Ford focus with sony speakers sounded lightyears better.  Very disapointed with this.",Audio
  after the failure of the central control module, the repair was supposed to eliminate the problem. When I received the car back
  all functions including the radio does not work when this occurs. The only way to get it to work again is by shutting car off, opening driver door
  and also does not recognize certain commands when listening/searching for music stored on a mobile device",Voice Recognition
  and it still doesn't 'get it'.",Voice Recognition
  cell phone much easier, so will never use this feature."
  difficult to use menus",Navigation
  driver side rattles",Audio
  it happens in all aspects.",Voice Recognition
  it just doesn't recognize the name.  For example, """"Find nearest Chase Bank""""."
  it will take time to adjust.  I have no choice but to learn.",Voice Recognition
  it wouldn't automatically connect . I had to keep pairing and unpairing my phone and eventually it worked",Bluetooth
  just too cumbersome to negotiate the driver info system",Radio
